LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE,COUNTRY
AUT,CPI,TOT,AGRWTH,M,2017-09,2.37,Austria
AUT,CPI,TOT,AGRWTH,M,2017-10,2.17,Austria
AUT,CPI,TOT,AGRWTH,M,2017-11,2.26,Austria
AUT,CPI,TOT,AGRWTH,M,2017-12,2.15,Austria
AUT,CPI,TOT,AGRWTH,M,2018-01,1.77,Austria
AUT,CPI,TOT,AGRWTH,M,2018-02,1.76,Austria
AUT,CPI,TOT,AGRWTH,M,2018-03,1.85,Austria
AUT,CPI,TOT,AGRWTH,M,2018-04,1.85,Austria
AUT,CPI,TOT,AGRWTH,M,2018-05,1.94,Austria
AUT,CPI,TOT,AGRWTH,M,2018-06,2.04,Austria
AUT,CPI,TOT,AGRWTH,M,2018-07,2.14,Austria
AUT,CPI,TOT,AGRWTH,M,2018-08,2.24,Austria
AUT,CPI,TOT,AGRWTH,M,2018-09,2.03,Austria
AUT,CPI,TOT,AGRWTH,M,2018-10,2.22,Austria
AUT,CPI,TOT,AGRWTH,M,2018-11,2.21,Austria
AUT,CPI,TOT,AGRWTH,M,2018-12,1.92,Austria
AUT,CPI,TOT,AGRWTH,M,2019-01,1.83,Austria
AUT,CPI,TOT,AGRWTH,M,2019-02,1.54,Austria
AUT,CPI,TOT,AGRWTH,M,2019-03,1.82,Austria
AUT,CPI,TOT,AGRWTH,M,2019-04,1.72,Austria
AUT,CPI,TOT,AGRWTH,M,2019-05,1.72,Austria
AUT,CPI,TOT,AGRWTH,M,2019-06,1.62,Austria
AUT,CPI,TOT,AGRWTH,M,2019-07,1.43,Austria
AUT,CPI,TOT,AGRWTH,M,2019-08,1.53,Austria
AUT,CPI,TOT,AGRWTH,M,2019-09,1.23,Austria
AUT,CPI,TOT,AGRWTH,M,2019-10,1.13,Austria
AUT,CPI,TOT,AGRWTH,M,2019-11,1.13,Austria
AUT,CPI,TOT,AGRWTH,M,2019-12,1.69,Austria
AUT,CPI,TOT,AGRWTH,M,2020-01,1.99,Austria
AUT,CPI,TOT,AGRWTH,M,2020-02,2.09,Austria
